FEATURE,FEATURE_IMPORTANCE_MEAN,FEATURE_IMPORTANCE_STDEV
Distance (mm) Ear_right-Ear_left_FEATURE_SUBSET,0.001321045713811897,0.0018162492338186077
Nose_movement_M1_sum_6,0.0013209680586505437,0.003202423830503548
Animal_1 four-point convex perimeter (mm) Ear_left-Ear_right-Nose-Center_FEATURE_SUBSET,0.0013167290660989655,0.004015948136904389
Angle (degrees) Ear_left-Center-Lat_left_FEATURE_SUBSET,0.001315355377031131,0.0020082008464443286
Angle (degrees) Nose-Lat_right-Tail_base_FEATURE_SUBSET,0.001313159277196639,0.002613798956465899
Angle (degrees) Nose-Tail_base-Tail_end_FEATURE_SUBSET,0.001309185893927369,0.0018188756717192952
Total_movement_M1_mean_5_percentile_rank,0.0013048894441266598,0.0016858566005170709
Angle (degrees) Nose-Lat_left-Tail_end_FEATURE_SUBSET,0.0013001380332219,0.0024550434938699216
Angle (degrees) Lat_left-Tail_base-Tail_end_FEATURE_SUBSET,0.0012923814678569366,0.0016985679233884436
Angle (degrees) Ear_right-Tail_base-Tail_end_FEATURE_SUBSET,0.0012684439663133119,0.0017541795588854887
Angle (degrees) Ear_right-Center-Lat_left_FEATURE_SUBSET,0.0012667130919425983,0.0017656038623088345
Angle (degrees) Ear_left-Lat_left-Tail_end_FEATURE_SUBSET,0.0012664729553409522,0.0018372557688951425
Angle (degrees) Ear_left-Lat_left-Tail_base_FEATURE_SUBSET,0.0012549123561463016,0.0024246274725334073
Angle (degrees) Ear_left-Ear_right-Nose_FEATURE_SUBSET,0.0012509026718243185,0.004399035264882243
Sum_probabilities_deviation,0.0012463761787766937,0.0032962626677562135
Mouse_Ear_distance,0.001242942533900073,0.0016144241829105848
Animal_1 three-point convex hull perimeter (mm) Ear_left-Lat_left-Tail_base_FEATURE_SUBSET,0.0012411783663528152,0.0030684023491680972
Animal_1 three-point convex hull perimeter (mm) Ear_right-Center-Tail_base_FEATURE_SUBSET,0.0012398844913933428,0.00251149658885492
Sum_probabilities_deviation_percentile_rank,0.0012372409727054777,0.002743882022604843
Animal_1 three-point convex hull perimeter (mm) Nose-Lat_right-Tail_base_FEATURE_SUBSET,0.001233039396195715,0.0032909022494454036
Animal_1 four-point convex perimeter (mm) Ear_left-Ear_right-Lat_left-Tail_base_FEATURE_SUBSET,0.001228586273589736,0.0038285094274516786
Animal_1 three-point convex hull perimeter (mm) Ear_right-Nose-Tail_base_FEATURE_SUBSET,0.0012250878034996248,0.003124456797298529
Distance (mm) Lat_right-Tail_base_FEATURE_SUBSET,0.0012236559387554275,0.0020342072673812084
Animal_1 four-point convex perimeter (mm) Ear_left-Ear_right-Center-Tail_base_FEATURE_SUBSET,0.0012205243965962174,0.0034076215107231847
Angle (degrees) Lat_right-Tail_base-Tail_end_FEATURE_SUBSET,0.00121783295706233,0.0015894639396018346
Animal_1 three-point convex hull perimeter (mm) Ear_right-Nose-Center_FEATURE_SUBSET,0.001215889479357106,0.003313227659112831
Angle (degrees) Center-Lat_right-Tail_end_FEATURE_SUBSET,0.001215513867915513,0.001821433376654009
Tail_end_movement_M1_median_15,0.001210011219226542,0.0018791047021616402
Animal_1 three-point convex hull perimeter (mm) Ear_left-Ear_right-Lat_right_FEATURE_SUBSET,0.0012091020501320457,0.0036361407430978245
Mouse_angle,0.001207737410897747,0.0020275256446576433
Animal_1 three-point convex hull perimeter (mm) Nose-Lat_left-Tail_base_FEATURE_SUBSET,0.0012065799207968992,0.0030267284025885534
Animal_1 four-point convex perimeter (mm) Ear_left-Nose-Lat_left-Lat_right_FEATURE_SUBSET,0.0012059433408205553,0.003952158422380222
Angle (degrees) Nose-Lat_right-Tail_end_FEATURE_SUBSET,0.0012021188978388554,0.0019718226589416753
Angle (degrees) Lat_left-Lat_right-Tail_end_FEATURE_SUBSET,0.0012012969168902017,0.0016363215383835403
Angle (degrees) Ear_left-Lat_right-Tail_base_FEATURE_SUBSET,0.0012012228433634124,0.0020205829190646793
Distance (mm) Tail_base-Lat_left_FEATURE_SUBSET,0.0011989361759220456,0.0018963061797529325
Angle (degrees) Ear_left-Nose-Lat_right_FEATURE_SUBSET,0.0011982817195544465,0.00204028445541566
Animal_1 four-point convex perimeter (mm) Nose-Center-Lat_left-Lat_right_FEATURE_SUBSET,0.0011948063622764572,0.003254871770692944
Mouse_Centroid_to_lateral_right,0.0011942533990284816,0.0016714794282409182
Tail_end_movement_M1_mean_15,0.0011924339504426006,0.0018463685941315553
Angle (degrees) Ear_right-Lat_right-Tail_base_FEATURE_SUBSET,0.0011847136109372186,0.0019838246650307288
Distance (mm) Lat_right-Center_FEATURE_SUBSET,0.001184436442786796,0.0018042309554326219
Tail_end_relative_to_tail_base_centroid_nose_M1_15,0.0011815490816600549,0.0032472432862036883
Angle (degrees) Ear_left-Center-Tail_base_FEATURE_SUBSET,0.0011789554690234399,0.0018670983661857286
Animal_1 four-point convex perimeter (mm) Ear_left-Center-Lat_right-Tail_base_FEATURE_SUBSET,0.0011710342040189058,0.002701856061634457
Animal_1 four-point convex perimeter (mm) Nose-Center-Lat_right-Tail_base_FEATURE_SUBSET,0.0011686633209888751,0.003436553384668046
Angle (degrees) Ear_right-Lat_left-Lat_right_FEATURE_SUBSET,0.0011680982473496505,0.003520479967448869
Animal_1 three-point convex hull perimeter (mm) Nose-Center-Lat_right_FEATURE_SUBSET,0.0011654205139043044,0.0024599238844833678
Angle (degrees) Ear_left-Lat_left-Lat_right_FEATURE_SUBSET,0.001164607904218762,0.003683899844149544
Angle (degrees) Center-Lat_right-Tail_base_FEATURE_SUBSET,0.00116426551550399,0.001890596760343153
Angle (degrees) Nose-Center-Tail_base_FEATURE_SUBSET,0.001163828102945697,0.001892205097388208
Animal_1 four-point convex perimeter (mm) Ear_right-Nose-Center-Tail_base_FEATURE_SUBSET,0.0011619577903189667,0.003602077476501739
Animal_1 three-point convex hull perimeter (mm) Ear_left-Ear_right-Center_FEATURE_SUBSET,0.0011600205309357796,0.0034095932695953376
Animal_1 four-point convex perimeter (mm) Ear_right-Nose-Center-Lat_left_FEATURE_SUBSET,0.0011551039868552082,0.0034991052078478784
Mouse1_width_sum_15,0.001140162190445772,0.001292815483536279
Animal_1 three-point convex hull perimeter (mm) Ear_left-Center-Lat_right_FEATURE_SUBSET,0.001138206268444686,0.002263889064098815
Tail_end_movement_M1_sum_15,0.001136793567660936,0.001809027158048705
Mouse1_width_mean_15,0.0011364272155327867,0.001210177981631271
Angle (degrees) Ear_right-Lat_left-Tail_end_FEATURE_SUBSET,0.001124539143894446,0.0016731107229800892
Animal_1 four-point convex perimeter (mm) Ear_left-Nose-Center-Lat_left_FEATURE_SUBSET,0.0011237782283837197,0.00334598393029859
Centroid_movement_M1_mean_15,0.0011236853410365854,0.001175519645614672
Animal_1 four-point convex perimeter (mm) Ear_right-Nose-Lat_right-Tail_base_FEATURE_SUBSET,0.0011206140374629436,0.0026441251247043105
Distance (mm) Lat_right-Nose_FEATURE_SUBSET,0.001118663336792375,0.002340499328214423
Mouse_Nose_to_lateral_left,0.0011169180875584678,0.0029107028546096294
Angle (degrees) Ear_right-Center-Tail_base_FEATURE_SUBSET,0.0011083178046945518,0.0017201153003962208
Animal_1 three-point convex hull perimeter (mm) Nose-Tail_base-Tail_end_FEATURE_SUBSET,0.001107959231487813,0.0027387215444718946
Animal_1 four-point convex perimeter (mm) Ear_left-Nose-Center-Lat_right_FEATURE_SUBSET,0.0011047685724184326,0.002626524812819352
Centroid_movement_M1_sum_15,0.0011032926502849314,0.0012429548919700556
Nose_movement_M1_median_5,0.0011019716181032613,0.002080282779836548
Animal_1 three-point convex hull perimeter (mm) Ear_left-Center-Lat_left_FEATURE_SUBSET,0.0010980089958408643,0.002331194746983209
Nose_movement_M1_median_6,0.001095869789838042,0.0020091879571617227
Angle (degrees) Ear_left-Lat_right-Tail_end_FEATURE_SUBSET,0.0010922199318874597,0.0016338992067127247
Mouse1_width_median_15,0.0010799369919720799,0.0010800498336840496
Animal_1 four-point convex perimeter (mm) Ear_left-Center-Lat_left-Tail_base_FEATURE_SUBSET,0.001077883247715762,0.0026761090063382622
Angle (degrees) Ear_left-Ear_right-Tail_end_FEATURE_SUBSET,0.0010767825176276537,0.0018087251101601008
Animal_1 three-point convex hull perimeter (mm) Ear_left-Center-Tail_base_FEATURE_SUBSET,0.0010765022633878677,0.002809236058960151
Animal_1 four-point convex perimeter (mm) Nose-Center-Lat_left-Tail_base_FEATURE_SUBSET,0.0010764589372479364,0.0031995157904620222
Mouse_Nose_to_lateral_right,0.0010620212034073218,0.0018412755310692524
Angle (degrees) Ear_left-Ear_right-Tail_base_FEATURE_SUBSET,0.0010613644203265114,0.0023445201790722914
Distance (mm) Lat_right-Ear_left_FEATURE_SUBSET,0.0010600594858414395,0.0036818244384713827
Animal_1 four-point convex perimeter (mm) Ear_left-Nose-Lat_left-Tail_base_FEATURE_SUBSET,0.0010554883829406157,0.0031259619690766037
Movement_mouse_deviation_centroid,0.0010513570369855068,0.0018283373070904342
Total_movement_M1_mean_2_percentile_rank,0.0010494615964511008,0.0016368073539504916
Distance (mm) Center-Lat_left_FEATURE_SUBSET,0.0010489048239407295,0.001369862596106641
Distance (mm) Nose-Center_FEATURE_SUBSET,0.001048127193231225,0.002460929332607135
Animal_1 four-point convex perimeter (mm) Nose-Lat_left-Lat_right-Tail_base_FEATURE_SUBSET,0.0010480420599302417,0.0029043033307160075
Animal_1 four-point convex perimeter (mm) Ear_left-Lat_left-Lat_right-Tail_base_FEATURE_SUBSET,0.0010471327683760378,0.0028166328110513584
Distance (mm) Tail_base-Center_FEATURE_SUBSET,0.0010375031753065665,0.0014099805987300765
Nose_movement_M1_median_2,0.001034397317884297,0.002004595365599614
Nose_movement_M1_sum_2,0.0010218416171663823,0.0021344731297722754
