VIDEO,ANIMAL,BODY-PART,MEASURE,VALUE
05Training_rat27,Animal_1,Nose,Velocity (cm/s),20.81394527262908
04Training_rat09,Animal_1,Nose,Distance (cm),1027.2418087211252
04Training_rat09,Animal_1,Nose,Velocity (cm/s),14.751670490524385
Test_rat18,Animal_1,Nose,Distance (cm),1764.8532962035708
Test_rat18,Animal_1,Nose,Velocity (cm/s),20.032675909924954
01Training_rat22,Animal_1,Nose,Distance (cm),761.295993570612
01Training_rat22,Animal_1,Nose,Velocity (cm/s),7.546656085472984
10Training_rat16,Animal_1,Nose,Distance (cm),2039.4195873668257
10Training_rat16,Animal_1,Nose,Velocity (cm/s),11.267511532413403
10Training_rat02,Animal_1,Nose,Distance (cm),212.40950750973124
10Training_rat02,Animal_1,Nose,Velocity (cm/s),60.47406642176057
08Training_rat06,Animal_1,Nose,Distance (cm),620.2236136745589
08Training_rat06,Animal_1,Nose,Velocity (cm/s),17.37034035135808
09Training_rat14,Animal_1,Nose,Distance (cm),240.7106478235171
09Training_rat14,Animal_1,Nose,Velocity (cm/s),21.956788168275885
08Training_rat12,Animal_1,Nose,Distance (cm),290.5312248700333
08Training_rat12,Animal_1,Nose,Velocity (cm/s),13.215718989901312
09Training_rat28,Animal_1,Nose,Distance (cm),475.09507920553585
09Training_rat28,Animal_1,Nose,Velocity (cm/s),22.56696677738634
09Training_rat29,Animal_1,Nose,Distance (cm),1209.7712527599429
09Training_rat29,Animal_1,Nose,Velocity (cm/s),20.892267815623686
09Training_rat15,Animal_1,Nose,Distance (cm),294.2618218958813
09Training_rat15,Animal_1,Nose,Velocity (cm/s),24.616613838159985
08Training_rat13,Animal_1,Nose,Distance (cm),199.6260194549639
08Training_rat13,Animal_1,Nose,Velocity (cm/s),20.116194912015082
08Training_rat07,Animal_1,Nose,Distance (cm),425.08977464890097
08Training_rat07,Animal_1,Nose,Velocity (cm/s),23.864771737009903
09Training_rat01,Animal_1,Nose,Distance (cm),1195.3642734292284
09Training_rat01,Animal_1,Nose,Velocity (cm/s),24.244975700823638
10Training_rat03,Animal_1,Nose,Distance (cm),2916.3084660592294
10Training_rat03,Animal_1,Nose,Velocity (cm/s),16.3019888235987
10Training_rat17,Animal_1,Nose,Distance (cm),2227.3575693663142
10Training_rat17,Animal_1,Nose,Velocity (cm/s),17.538248577687515
01Training_rat23,Animal_1,Nose,Distance (cm),399.8557049666306
01Training_rat23,Animal_1,Nose,Velocity (cm/s),19.14805796998172
Test_rat19,Animal_1,Nose,Distance (cm),1364.0247453319946
Test_rat19,Animal_1,Nose,Velocity (cm/s),15.712442042715958
04Training_rat08,Animal_1,Nose,Distance (cm),1177.5416825238165
04Training_rat08,Animal_1,Nose,Velocity (cm/s),16.814905986966906
04Training_rat20,Animal_1,Nose,Distance (cm),290.07114714947176
04Training_rat20,Animal_1,Nose,Velocity (cm/s),20.909051057989238
Test_rat25,Animal_1,Nose,Distance (cm),1931.2937655771639
Test_rat25,Animal_1,Nose,Velocity (cm/s),21.232064762982507
05Training_rat26,Animal_1,Nose,Distance (cm),77.14305103667166
05Training_rat26,Animal_1,Nose,Velocity (cm/s),19.755735964448284
05Training_rat32,Animal_1,Nose,Distance (cm),280.3004113749066
05Training_rat32,Animal_1,Nose,Velocity (cm/s),35.35111224764076
Test_rat31,Animal_1,Nose,Distance (cm),1422.1622871366271
Test_rat31,Animal_1,Nose,Velocity (cm/s),15.635808085934986
06Training_rat24,Animal_1,Nose,Distance (cm),372.6958006131201
06Training_rat24,Animal_1,Nose,Velocity (cm/s),28.73448920489149
07Training_rat22,Animal_1,Nose,Distance (cm),735.3274763328476
07Training_rat22,Animal_1,Nose,Velocity (cm/s),16.35683326965655
06Training_rat30,Animal_1,Nose,Distance (cm),202.1808165289917
06Training_rat30,Animal_1,Nose,Velocity (cm/s),29.207010568360886
06Training_rat18,Animal_1,Nose,Distance (cm),46.666075054513165
06Training_rat18,Animal_1,Nose,Velocity (cm/s),2.745063238500774
