VIDEO,ANIMAL,BODY-PART,MEASUREMENT,VALUE
08Training_rat06,Animal_1,Center,Velocity (cm/s),11.20904256834293
09Training_rat14,Animal_1,Center,Distance (cm),190.29004746854662
09Training_rat14,Animal_1,Center,Velocity (cm/s),17.397777000919735
08Training_rat12,Animal_1,Center,Distance (cm),307.17349207238215
08Training_rat12,Animal_1,Center,Velocity (cm/s),14.908052290831433
09Training_rat28,Animal_1,Center,Distance (cm),333.54131458010795
09Training_rat28,Animal_1,Center,Velocity (cm/s),15.332514432037176
09Training_rat29,Animal_1,Center,Distance (cm),778.8986150493695
09Training_rat29,Animal_1,Center,Velocity (cm/s),13.69057471978282
09Training_rat15,Animal_1,Center,Distance (cm),168.20499580265206
09Training_rat15,Animal_1,Center,Velocity (cm/s),13.908117707170693
08Training_rat13,Animal_1,Center,Distance (cm),171.32955236515085
08Training_rat13,Animal_1,Center,Velocity (cm/s),17.29814752767832
08Training_rat07,Animal_1,Center,Distance (cm),320.18399784930943
08Training_rat07,Animal_1,Center,Velocity (cm/s),18.995030649047116
09Training_rat01,Animal_1,Center,Distance (cm),630.0485700327384
09Training_rat01,Animal_1,Center,Velocity (cm/s),12.353893530053693
10Training_rat03,Animal_1,Center,Distance (cm),1790.0314760384656
10Training_rat03,Animal_1,Center,Velocity (cm/s),9.952839322190878
10Training_rat17,Animal_1,Center,Distance (cm),1019.2052013781389
10Training_rat17,Animal_1,Center,Velocity (cm/s),8.092123367044726
01Training_rat23,Animal_1,Center,Distance (cm),197.2133092075877
01Training_rat23,Animal_1,Center,Velocity (cm/s),10.050137521996714
Test_rat19,Animal_1,Center,Distance (cm),995.6422024361243
Test_rat19,Animal_1,Center,Velocity (cm/s),11.10498497288799
04Training_rat08,Animal_1,Center,Distance (cm),769.6816021791585
04Training_rat08,Animal_1,Center,Velocity (cm/s),10.943460092457052
04Training_rat20,Animal_1,Center,Distance (cm),211.30254291594625
04Training_rat20,Animal_1,Center,Velocity (cm/s),15.275816086591659
Test_rat25,Animal_1,Center,Distance (cm),1197.323057203611
Test_rat25,Animal_1,Center,Velocity (cm/s),15.435287568934173
05Training_rat26,Animal_1,Center,Distance (cm),78.0871597770815
05Training_rat26,Animal_1,Center,Velocity (cm/s),21.003434105264517
05Training_rat32,Animal_1,Center,Distance (cm),140.65097191554668
05Training_rat32,Animal_1,Center,Velocity (cm/s),17.966832626751362
Test_rat31,Animal_1,Center,Distance (cm),832.590733219918
Test_rat31,Animal_1,Center,Velocity (cm/s),9.260909588817423
06Training_rat24,Animal_1,Center,Distance (cm),228.96084646869343
06Training_rat24,Animal_1,Center,Velocity (cm/s),18.24903318467651
07Training_rat22,Animal_1,Center,Distance (cm),331.51863325750116
07Training_rat22,Animal_1,Center,Velocity (cm/s),7.5574741293275025
06Training_rat30,Animal_1,Center,Distance (cm),185.50582616548024
06Training_rat30,Animal_1,Center,Velocity (cm/s),30.99571361377298
06Training_rat18,Animal_1,Center,Distance (cm),344.46231847539775
06Training_rat18,Animal_1,Center,Velocity (cm/s),24.685120537333745
02Training_rat09,Animal_1,Center,Distance (cm),82.7177834950095
02Training_rat09,Animal_1,Center,Velocity (cm/s),13.97302688082712
02Training_rat21,Animal_1,Center,Distance (cm),288.40545018547226
02Training_rat21,Animal_1,Center,Velocity (cm/s),11.162098438008961
03Training_rat27,Animal_1,Center,Distance (cm),335.3446434709017
03Training_rat27,Animal_1,Center,Velocity (cm/s),8.794722633653262
03Training_rat32,Animal_1,Center,Distance (cm),442.3081453705742
03Training_rat32,Animal_1,Center,Velocity (cm/s),18.605704704742767
02Training_rat20,Animal_1,Center,Distance (cm),422.63152300302033
02Training_rat20,Animal_1,Center,Velocity (cm/s),16.57265339171473
03Training_rat26,Animal_1,Center,Distance (cm),254.6489050403202
03Training_rat26,Animal_1,Center,Velocity (cm/s),9.803634552764034
02Training_rat08,Animal_1,Center,Distance (cm),853.0251998268186
02Training_rat08,Animal_1,Center,Velocity (cm/s),10.601889538756936
06Training_rat19,Animal_1,Center,Distance (cm),436.66200072610974
06Training_rat19,Animal_1,Center,Velocity (cm/s),10.433973120742749
06Training_rat31,Animal_1,Center,Distance (cm),1379.8858942109634
06Training_rat31,Animal_1,Center,Velocity (cm/s),7.759107545508424
06Training_rat25,Animal_1,Center,Distance (cm),1662.1366126060718
06Training_rat25,Animal_1,Center,Velocity (cm/s),10.728294729959808
07Training_rat23,Animal_1,Center,Distance (cm),95.33562858365764
07Training_rat23,Animal_1,Center,Velocity (cm/s),23.57018709044613
07Training_rat21,Animal_1,Center,Distance (cm),316.87396611040674
07Training_rat21,Animal_1,Center,Velocity (cm/s),21.708019475808268
06Training_rat27,Animal_1,Center,Distance (cm),410.8370831590879
06Training_rat27,Animal_1,Center,Velocity (cm/s),23.223566271732295
07Training_rat09,Animal_1,Center,Distance (cm),408.04934473681783
07Training_rat09,Animal_1,Center,Velocity (cm/s),14.185947346652574
03Training_rat18,Animal_1,Center,Distance (cm),234.92580454708886
03Training_rat18,Animal_1,Center,Velocity (cm/s),10.501631685336058
03Training_rat30,Animal_1,Center,Distance (cm),350.12956012960734
03Training_rat30,Animal_1,Center,Velocity (cm/s),27.40745910713462
03Training_rat24,Animal_1,Center,Distance (cm),455.5054859349726
03Training_rat24,Animal_1,Center,Velocity (cm/s),12.399569694115337
02Training_rat22,Animal_1,Center,Distance (cm),628.8768696163379
02Training_rat22,Animal_1,Center,Velocity (cm/s),11.078783560901885
03Training_rat25,Animal_1,Center,Distance (cm),155.18296886431776
03Training_rat25,Animal_1,Center,Velocity (cm/s),18.253418202541592
02Training_rat23,Animal_1,Center,Distance (cm),231.8535511581903
02Training_rat23,Animal_1,Center,Velocity (cm/s),14.649523333252061
03Training_rat31,Animal_1,Center,Distance (cm),1037.745878665347
03Training_rat31,Animal_1,Center,Velocity (cm/s),6.038078203111288
03Training_rat19,Animal_1,Center,Distance (cm),298.2319065899853
03Training_rat19,Animal_1,Center,Velocity (cm/s),16.046959338331067
07Training_rat08,Animal_1,Center,Distance (cm),163.60929178846254
07Training_rat08,Animal_1,Center,Velocity (cm/s),24.143628653075723
07Training_rat20,Animal_1,Center,Distance (cm),255.20747114484402
07Training_rat20,Animal_1,Center,Velocity (cm/s),23.46456425742058
06Training_rat26,Animal_1,Center,Distance (cm),262.8320973489518
06Training_rat26,Animal_1,Center,Velocity (cm/s),13.474923494650662
06Training_rat32,Animal_1,Center,Distance (cm),395.99188520997023
06Training_rat32,Animal_1,Center,Velocity (cm/s),15.491773785889082
07Training_rat18,Animal_1,Center,Distance (cm),318.62830110912563
07Training_rat18,Animal_1,Center,Velocity (cm/s),19.814652254412756
07Training_rat30,Animal_1,Center,Distance (cm),123.5855114162863
07Training_rat30,Animal_1,Center,Velocity (cm/s),23.360028045378808
06Training_rat22,Animal_1,Center,Distance (cm),325.4123695891043
06Training_rat22,Animal_1,Center,Velocity (cm/s),12.188350434869351
07Training_rat24,Animal_1,Center,Distance (cm),75.83568442355666
07Training_rat24,Animal_1,Center,Velocity (cm/s),21.849339943556334
02Training_rat27,Animal_1,Center,Distance (cm),515.7814804484958
02Training_rat27,Animal_1,Center,Velocity (cm/s),7.0460882436393435
03Training_rat21,Animal_1,Center,Distance (cm),284.22181334440415
03Training_rat21,Animal_1,Center,Velocity (cm/s),13.123614981330173
03Training_rat09,Animal_1,Center,Distance (cm),321.14105615643825
03Training_rat09,Animal_1,Center,Velocity (cm/s),10.044885809587255
03Training_rat08,Animal_1,Center,Distance (cm),1031.0379919727864
03Training_rat08,Animal_1,Center,Velocity (cm/s),8.722896485157387
02Training_rat26,Animal_1,Center,Distance (cm),734.80165254607
02Training_rat26,Animal_1,Center,Velocity (cm/s),9.244732852480343
03Training_rat20,Animal_1,Center,Distance (cm),365.9202030450144
03Training_rat20,Animal_1,Center,Velocity (cm/s),19.368512249046976
02Training_rat32,Animal_1,Center,Distance (cm),289.8567919788974
02Training_rat32,Animal_1,Center,Velocity (cm/s),10.404378273671444
06Training_rat23,Animal_1,Center,Distance (cm),182.76608217202113
06Training_rat23,Animal_1,Center,Velocity (cm/s),19.18495875854432
07Training_rat25,Animal_1,Center,Distance (cm),1924.9041203351971
07Training_rat25,Animal_1,Center,Velocity (cm/s),11.764043612046752
07Training_rat31,Animal_1,Center,Distance (cm),258.45300182105666
07Training_rat31,Animal_1,Center,Velocity (cm/s),13.89599956133761
07Training_rat19,Animal_1,Center,Distance (cm),1771.3073203003194
07Training_rat19,Animal_1,Center,Velocity (cm/s),10.459596560599241
06Training_rat09,Animal_1,Center,Distance (cm),177.29329879610947
06Training_rat09,Animal_1,Center,Velocity (cm/s),12.703927794099352
07Training_rat27,Animal_1,Center,Distance (cm),338.7886140849291
07Training_rat27,Animal_1,Center,Velocity (cm/s),14.430841794706907
06Training_rat21,Animal_1,Center,Distance (cm),293.88517080642123
06Training_rat21,Animal_1,Center,Velocity (cm/s),12.183765586635811
03Training_rat22,Animal_1,Center,Distance (cm),1186.0665612458447
03Training_rat22,Animal_1,Center,Velocity (cm/s),11.02725863827753
02Training_rat24,Animal_1,Center,Distance (cm),455.36526496229516
02Training_rat24,Animal_1,Center,Velocity (cm/s),15.78622085921639
02Training_rat30,Animal_1,Center,Distance (cm),543.8888083937866
02Training_rat30,Animal_1,Center,Velocity (cm/s),19.88696230390959
02Training_rat18,Animal_1,Center,Distance (cm),159.33916188833533
02Training_rat18,Animal_1,Center,Velocity (cm/s),21.589878689306197
02Training_rat19,Animal_1,Center,Distance (cm),803.3194211797652
02Training_rat19,Animal_1,Center,Velocity (cm/s),8.597411603317632
02Training_rat31,Animal_1,Center,Distance (cm),1018.2470866677965
02Training_rat31,Animal_1,Center,Velocity (cm/s),8.20553245134684
03Training_rat23,Animal_1,Center,Distance (cm),362.12546569367703
03Training_rat23,Animal_1,Center,Velocity (cm/s),11.681466635279904
02Training_rat25,Animal_1,Center,Distance (cm),567.8493016279
02Training_rat25,Animal_1,Center,Velocity (cm/s),21.343965904500752
07Training_rat32,Animal_1,Center,Distance (cm),105.6912122913815
07Training_rat32,Animal_1,Center,Velocity (cm/s),18.672173260100045
07Training_rat26,Animal_1,Center,Distance (cm),87.91482240122903
07Training_rat26,Animal_1,Center,Velocity (cm/s),12.940286448676883
06Training_rat20,Animal_1,Center,Distance (cm),260.478087820832
06Training_rat20,Animal_1,Center,Velocity (cm/s),24.149352338127013
06Training_rat08,Animal_1,Center,Distance (cm),210.06240792086842
06Training_rat08,Animal_1,Center,Velocity (cm/s),15.351482574524734
06Training_rat05,Animal_1,Center,Distance (cm),322.46919340886996
06Training_rat05,Animal_1,Center,Velocity (cm/s),13.401715358633973
07Training_rat03,Animal_1,Center,Distance (cm),1640.9125918689806
07Training_rat03,Animal_1,Center,Velocity (cm/s),9.131201219710361
07Training_rat17,Animal_1,Center,Distance (cm),810.8699063480658
07Training_rat17,Animal_1,Center,Velocity (cm/s),11.000692041821766
06Training_rat11,Animal_1,Center,Distance (cm),388.7306538430608
06Training_rat11,Animal_1,Center,Velocity (cm/s),12.971587103258447
02Training_rat28,Animal_1,Center,Distance (cm),478.2525062369223
02Training_rat28,Animal_1,Center,Velocity (cm/s),12.037129083475042
03Training_rat06,Animal_1,Center,Distance (cm),207.8465045693756
03Training_rat06,Animal_1,Center,Velocity (cm/s),12.316884860392397
03Training_rat12,Animal_1,Center,Distance (cm),262.87616257229695
03Training_rat12,Animal_1,Center,Velocity (cm/s),14.291487952126921
02Training_rat14,Animal_1,Center,Distance (cm),538.0163648211417
02Training_rat14,Animal_1,Center,Velocity (cm/s),13.540583670829175
03Training_rat13,Animal_1,Center,Distance (cm),243.7303752430474
03Training_rat13,Animal_1,Center,Velocity (cm/s),15.444223462779448
02Training_rat15,Animal_1,Center,Distance (cm),266.7604129116602
02Training_rat15,Animal_1,Center,Velocity (cm/s),17.803277607769346
02Training_rat01,Animal_1,Center,Distance (cm),729.9057406823496
02Training_rat01,Animal_1,Center,Velocity (cm/s),7.7353320285244465
03Training_rat07,Animal_1,Center,Distance (cm),576.512649201545
03Training_rat07,Animal_1,Center,Velocity (cm/s),10.129498940249002
02Training_rat29,Animal_1,Center,Distance (cm),302.2780094631356
02Training_rat29,Animal_1,Center,Velocity (cm/s),11.3441106512546
07Training_rat16,Animal_1,Center,Distance (cm),342.7938957560725
07Training_rat16,Animal_1,Center,Velocity (cm/s),5.042540653996893
06Training_rat10,Animal_1,Center,Distance (cm),102.48994459503672
06Training_rat10,Animal_1,Center,Velocity (cm/s),14.945185118093283
06Training_rat04,Animal_1,Center,Distance (cm),99.29358225959892
06Training_rat04,Animal_1,Center,Velocity (cm/s),17.24645329318344
07Training_rat02,Animal_1,Center,Distance (cm),341.74044927994385
07Training_rat02,Animal_1,Center,Velocity (cm/s),24.998530978277056
06Training_rat12,Animal_1,Center,Distance (cm),383.59136871119017
06Training_rat12,Animal_1,Center,Velocity (cm/s),12.479564742047797
07Training_rat14,Animal_1,Center,Distance (cm),90.88905763317639
07Training_rat14,Animal_1,Center,Velocity (cm/s),11.55756026284844
06Training_rat06,Animal_1,Center,Distance (cm),1787.1850404137108
06Training_rat06,Animal_1,Center,Velocity (cm/s),16.696844724675213
07Training_rat28,Animal_1,Center,Distance (cm),331.0909971701054
07Training_rat28,Animal_1,Center,Velocity (cm/s),10.952597727293977
02Training_rat17,Animal_1,Center,Distance (cm),344.4763806728364
02Training_rat17,Animal_1,Center,Velocity (cm/s),13.49951686350889
03Training_rat11,Animal_1,Center,Distance (cm),167.10071891102882
03Training_rat11,Animal_1,Center,Velocity (cm/s),15.62488625546773
03Training_rat05,Animal_1,Center,Distance (cm),352.5274021398601
03Training_rat05,Animal_1,Center,Velocity (cm/s),16.318263594486286
02Training_rat03,Animal_1,Center,Distance (cm),382.4913176715428
02Training_rat03,Animal_1,Center,Velocity (cm/s),7.3529894166490255
03Training_rat04,Animal_1,Center,Distance (cm),95.62751445164479
03Training_rat04,Animal_1,Center,Velocity (cm/s),13.832462575338226
02Training_rat02,Animal_1,Center,Distance (cm),424.9355824456604
02Training_rat02,Animal_1,Center,Velocity (cm/s),10.874910399692046
02Training_rat16,Animal_1,Center,Distance (cm),349.1541010181203
02Training_rat16,Animal_1,Center,Velocity (cm/s),11.055560420576633
03Training_rat10,Animal_1,Center,Distance (cm),226.01631966394575
03Training_rat10,Animal_1,Center,Velocity (cm/s),7.3476259775609485
07Training_rat29,Animal_1,Center,Distance (cm),878.6261114495376
07Training_rat29,Animal_1,Center,Velocity (cm/s),8.965572565811607
07Training_rat01,Animal_1,Center,Distance (cm),734.7859669332852
07Training_rat01,Animal_1,Center,Velocity (cm/s),9.15268441846695
06Training_rat07,Animal_1,Center,Distance (cm),309.8221214968672
06Training_rat07,Animal_1,Center,Velocity (cm/s),14.953731502375769
06Training_rat13,Animal_1,Center,Distance (cm),107.7490799041969
06Training_rat13,Animal_1,Center,Velocity (cm/s),16.090618754308732
07Training_rat15,Animal_1,Center,Distance (cm),404.93806531694156
07Training_rat15,Animal_1,Center,Velocity (cm/s),12.724032244345057
07Training_rat11,Animal_1,Center,Distance (cm),431.1471456909826
07Training_rat11,Animal_1,Center,Velocity (cm/s),11.455720787732545
06Training_rat17,Animal_1,Center,Distance (cm),212.2672851016278
06Training_rat17,Animal_1,Center,Velocity (cm/s),12.217280743023805
06Training_rat03,Animal_1,Center,Distance (cm),410.14873507702805
