VIDEO,TIME BIN #,START TIME,END TIME,ANIMAL,BODY-PART,MEASUREMENT,VALUE
01Training_rat02,4,00:00:04.000,00:00:05.000,Animal_1,Center,Movement (cm),2.31122975525349
01Training_rat02,5,00:00:05.000,00:00:06.000,Animal_1,Center,Movement (cm),5.114733450968795
01Training_rat02,6,00:00:06.000,00:00:07.000,Animal_1,Center,Movement (cm),2.0617043510386046
01Training_rat02,7,00:00:07.000,00:00:08.000,Animal_1,Center,Movement (cm),2.254805488926593
01Training_rat02,8,00:00:08.000,00:00:09.000,Animal_1,Center,Movement (cm),2.0806024315741825
01Training_rat02,9,00:00:09.000,00:00:10.000,Animal_1,Center,Movement (cm),2.2163232077701265
01Training_rat02,10,00:00:10.000,00:00:11.000,Animal_1,Center,Movement (cm),6.370152499386062
01Training_rat02,11,00:00:11.000,00:00:12.000,Animal_1,Center,Movement (cm),3.9783949972724706
01Training_rat02,12,00:00:12.000,00:00:13.000,Animal_1,Center,Movement (cm),5.104674426916746
01Training_rat02,13,00:00:13.000,00:00:14.000,Animal_1,Center,Movement (cm),2.9357253850627085
01Training_rat02,14,00:00:14.000,00:00:15.000,Animal_1,Center,Movement (cm),2.7854779726672763
01Training_rat02,15,00:00:15.000,00:00:16.000,Animal_1,Center,Movement (cm),0.8370974150421985
01Training_rat02,16,00:00:16.000,00:00:17.000,Animal_1,Center,Movement (cm),2.284522128460211
01Training_rat02,17,00:00:17.000,00:00:18.000,Animal_1,Center,Movement (cm),3.2239665334249943
01Training_rat02,18,00:00:18.000,00:00:19.000,Animal_1,Center,Movement (cm),3.6354178474027927
01Training_rat02,19,00:00:19.000,00:00:20.000,Animal_1,Center,Movement (cm),2.4075462029789803
01Training_rat02,20,00:00:20.000,00:00:21.000,Animal_1,Center,Movement (cm),6.938595948088958
01Training_rat02,21,00:00:21.000,00:00:22.000,Animal_1,Center,Movement (cm),15.348982097112204
01Training_rat02,22,00:00:22.000,00:00:23.000,Animal_1,Center,Movement (cm),8.57651289708431
01Training_rat02,23,00:00:23.000,00:00:24.000,Animal_1,Center,Movement (cm),3.9855783040357027
01Training_rat02,24,00:00:24.000,00:00:25.000,Animal_1,Center,Movement (cm),1.7254498073097502
01Training_rat02,25,00:00:25.000,00:00:26.000,Animal_1,Center,Movement (cm),3.089301906753291
01Training_rat02,26,00:00:26.000,00:00:27.000,Animal_1,Center,Movement (cm),3.312452855334686
01Training_rat02,27,00:00:27.000,00:00:28.000,Animal_1,Center,Movement (cm),5.81685144634943
01Training_rat02,28,00:00:28.000,00:00:29.000,Animal_1,Center,Movement (cm),8.973731867866618
01Training_rat02,29,00:00:29.000,00:00:30.000,Animal_1,Center,Movement (cm),5.340599895069848
01Training_rat02,30,00:00:30.000,00:00:31.000,Animal_1,Center,Movement (cm),15.282186367139184
01Training_rat02,31,00:00:31.000,00:00:32.000,Animal_1,Center,Movement (cm),26.137161092898317
01Training_rat02,32,00:00:32.000,00:00:33.000,Animal_1,Center,Movement (cm),20.203154296893082
01Training_rat02,33,00:00:33.000,00:00:34.000,Animal_1,Center,Movement (cm),4.718979598410153
01Training_rat02,34,00:00:34.000,00:00:35.000,Animal_1,Center,Movement (cm),10.985308493797879
01Training_rat02,35,00:00:35.000,00:00:36.000,Animal_1,Center,Movement (cm),4.875704356516155
01Training_rat02,36,00:00:36.000,00:00:37.000,Animal_1,Center,Movement (cm),6.612217422532967
01Training_rat02,37,00:00:37.000,00:00:38.000,Animal_1,Center,Movement (cm),3.7918112951915477
01Training_rat02,38,00:00:38.000,00:00:39.000,Animal_1,Center,Movement (cm),8.913168613898243
01Training_rat02,39,00:00:39.000,00:00:40.000,Animal_1,Center,Movement (cm),18.50588629833046
01Training_rat02,40,00:00:40.000,00:00:41.000,Animal_1,Center,Movement (cm),7.834256411088475
01Training_rat02,41,00:00:41.000,00:00:42.000,Animal_1,Center,Movement (cm),3.5682451336054952
01Training_rat02,42,00:00:42.000,00:00:43.000,Animal_1,Center,Movement (cm),1.687049766248164
01Training_rat02,43,00:00:43.000,00:00:44.000,Animal_1,Center,Movement (cm),2.2502289159374413
01Training_rat02,44,00:00:44.000,00:00:45.000,Animal_1,Center,Movement (cm),3.5703682206332124
01Training_rat02,45,00:00:45.000,00:00:46.000,Animal_1,Center,Movement (cm),6.59440281459681
01Training_rat02,46,00:00:46.000,00:00:47.000,Animal_1,Center,Movement (cm),10.142124679571156
01Training_rat02,47,00:00:47.000,00:00:48.000,Animal_1,Center,Movement (cm),9.700221444385502
01Training_rat02,48,00:00:48.000,00:00:49.000,Animal_1,Center,Movement (cm),12.982001089337766
01Training_rat02,49,00:00:49.000,00:00:50.000,Animal_1,Center,Movement (cm),2.818358987028291
01Training_rat02,50,00:00:50.000,00:00:51.000,Animal_1,Center,Movement (cm),2.1648826826582175
01Training_rat02,51,00:00:51.000,00:00:52.000,Animal_1,Center,Movement (cm),6.770773177595947
01Training_rat02,52,00:00:52.000,00:00:53.000,Animal_1,Center,Movement (cm),5.905652464349644
01Training_rat02,53,00:00:53.000,00:00:54.000,Animal_1,Center,Movement (cm),3.645977051568118
01Training_rat02,54,00:00:54.000,00:00:55.000,Animal_1,Center,Movement (cm),4.267396319108395
01Training_rat02,55,00:00:55.000,00:00:56.000,Animal_1,Center,Movement (cm),13.731228985536305
01Training_rat02,56,00:00:56.000,00:00:57.000,Animal_1,Center,Movement (cm),19.469937360537223
01Training_rat02,57,00:00:57.000,00:00:58.000,Animal_1,Center,Movement (cm),20.834840536305908
01Training_rat02,58,00:00:58.000,00:00:59.000,Animal_1,Center,Movement (cm),20.803017400794918
01Training_rat02,59,00:00:59.000,00:01:00.000,Animal_1,Center,Movement (cm),5.0932835321947
